WP, 63, 1981083118,   , XRQA,   0, 217N, 1463E,  15,    0, DB
WP, 63, 1981090100,   , XRQA,   0, 214N, 1454E,  15,    0, DB
WP, 63, 1981090106,   , XRQA,   0, 209N, 1444E,  15,    0, DB
WP, 63, 1981090112,   , XRQA,   0, 205N, 1435E,  20,    0, DB
WP, 63, 1981090118,   , XRQA,   0, 203N, 1428E,  20,    0, DB
WP, 63, 1981090200,   , XRQA,   0, 201N, 1421E,  25,    0, TD
WP, 63, 1981090206,   , XRQA,   0, 197N, 1416E,  30,    0, TD
WP, 63, 1981090212,   , XRQA,   0, 198N, 1412E,  40,    0, TS
WP, 63, 1981090218,   , XRQA,   0, 199N, 1409E,  45,    0, TS
WP, 63, 1981090300,   , XRQA,   0, 200N, 1407E,  40,    0, TS
WP, 63, 1981090306,   , XRQA,   0, 204N, 1403E,  30,    0, TD
WP, 63, 1981090312,   , XRQA,   0, 209N, 1395E,  30,    0, TD
WP, 63, 1981090318,   , XRQA,   0, 217N, 1387E,  30,    0, TD
WP, 63, 1981090400,   , XRQA,   0, 228N, 1381E,  30,    0, TD
WP, 63, 1981090406,   , XRQA,   0, 242N, 1377E,  30,    0, TD
WP, 63, 1981090412,   , XRQA,   0, 261N, 1382E,  30,    0, TD
WP, 63, 1981090418,   , XRQA,   0, 285N, 1391E,  35,    0, EX
WP, 63, 1981090500,   , XRQA,   0, 310N, 1405E,  35,    0, EX
WP, 63, 1981090506,   , XRQA,   0, 335N, 1420E,  35,    0, EX
WP, 63, 1981090512,   , XRQA,   0, 360N, 1448E,  35,    0, EX
WP, 63, 1981090518,   , XRQA,   0, 395N, 1470E,  35,    0, EX
WP, 63, 1981090600,   , XRQA,   0, 420N, 1500E,  35,    0, EX
