WP, 19, 2002080800,   , XRQA,   0,  78N, 1724E,  15,    0, DB
WP, 19, 2002080806,   , XRQA,   0,  80N, 1715E,  15,    0, DB
WP, 19, 2002080812,   , XRQA,   0,  81N, 1705E,  20,    0, DB
WP, 19, 2002080818,   , XRQA,   0,  83N, 1693E,  20,    0, DB
WP, 19, 2002080900,   , XRQA,   0,  82N, 1680E,  25,    0, TD
WP, 19, 2002080906,   , XRQA,   0,  84N, 1668E,  25,    0, TD
WP, 19, 2002080912,   , XRQA,   0,  87N, 1656E,  30,    0, TD
WP, 19, 2002080918,   , XRQA,   0,  89N, 1645E,  30,    0, TD
WP, 19, 2002081000,   , XRQA,   0,  89N, 1635E,  35,    0, TS
WP, 19, 2002081006,   , XRQA,   0,  91N, 1627E,  40,    0, TS
WP, 19, 2002081012,   , XRQA,   0,  92N, 1619E,  45,    0, TS
WP, 19, 2002081018,   , XRQA,   0,  97N, 1609E,  45,    0, TS
WP, 19, 2002081100,   , XRQA,   0,  98N, 1602E,  35,    0, TS
WP, 19, 2002081106,   , XRQA,   0,  99N, 1593E,  35,    0, TS
WP, 19, 2002081112,   , XRQA,   0, 102N, 1585E,  45,    0, TS
WP, 19, 2002081118,   , XRQA,   0, 103N, 1583E,  45,    0, TS
WP, 19, 2002081200,   , XRQA,   0, 107N, 1581E,  50,    0, TS
WP, 19, 2002081206,   , XRQA,   0, 113N, 1578E,  55,    0, TS
WP, 19, 2002081212,   , XRQA,   0, 119N, 1575E,  65,    0, TY
WP, 19, 2002081218,   , XRQA,   0, 126N, 1573E,  70,    0, TY
WP, 19, 2002081300,   , XRQA,   0, 140N, 1569E,  70,    0, TY
WP, 19, 2002081306,   , XRQA,   0, 155N, 1561E,  75,    0, TY
WP, 19, 2002081312,   , XRQA,   0, 165N, 1548E,  80,    0, TY
WP, 19, 2002081318,   , XRQA,   0, 173N, 1537E,  85,    0, TY
WP, 19, 2002081400,   , XRQA,   0, 183N, 1523E,  80,    0, TY
WP, 19, 2002081406,   , XRQA,   0, 190N, 1507E,  80,    0, TY
WP, 19, 2002081412,   , XRQA,   0, 194N, 1493E,  90,    0, TY
WP, 19, 2002081418,   , XRQA,   0, 202N, 1482E,  95,    0, TY
WP, 19, 2002081500,   , XRQA,   0, 211N, 1469E,  95,    0, TY
WP, 19, 2002081506,   , XRQA,   0, 220N, 1457E, 105,    0, TY
WP, 19, 2002081512,   , XRQA,   0, 229N, 1446E, 145,    0, ST
WP, 19, 2002081518,   , XRQA,   0, 239N, 1433E, 140,    0, ST
WP, 19, 2002081600,   , XRQA,   0, 247N, 1421E, 130,    0, ST
WP, 19, 2002081606,   , XRQA,   0, 254N, 1410E, 110,    0, TY
WP, 19, 2002081612,   , XRQA,   0, 260N, 1401E,  85,    0, TY
WP, 19, 2002081618,   , XRQA,   0, 268N, 1394E,  75,    0, TY
WP, 19, 2002081700,   , XRQA,   0, 276N, 1388E,  85,    0, TY
WP, 19, 2002081706,   , XRQA,   0, 285N, 1382E, 100,    0, TY
WP, 19, 2002081712,   , XRQA,   0, 295N, 1377E, 105,    0, TY
WP, 19, 2002081718,   , XRQA,   0, 302N, 1372E, 100,    0, TY
WP, 19, 2002081800,   , XRQA,   0, 307N, 1367E,  95,    0, TY
WP, 19, 2002081806,   , XRQA,   0, 311N, 1365E,  90,    0, TY
WP, 19, 2002081812,   , XRQA,   0, 315N, 1370E,  75,    0, TY
WP, 19, 2002081818,   , XRQA,   0, 318N, 1377E,  70,    0, TY
WP, 19, 2002081900,   , XRQA,   0, 323N, 1388E,  60,    0, TS
WP, 19, 2002081906,   , XRQA,   0, 327N, 1398E,  55,    0, TS
WP, 19, 2002081912,   , XRQA,   0, 333N, 1410E,  50,    0, TS
WP, 19, 2002081918,   , XRQA,   0, 336N, 1429E,  65,    0, TY
WP, 19, 2002082000,   , XRQA,   0, 343N, 1459E,  70,    0, TY
WP, 19, 2002082006,   , XRQA,   0, 361N, 1490E,  65,    0, TY
WP, 19, 2002082012,   , XRQA,   0, 384N, 1524E,  50,    0, TS
WP, 19, 2002082018,   , XRQA,   0, 419N, 1533E,  55,    0, EX
WP, 19, 2002082100,   , XRQA,   0, 439N, 1516E,  55,    0, EX
WP, 19, 2002082106,   , XRQA,   0, 441N, 1519E,  55,    0, EX
WP, 19, 2002082112,   , XRQA,   0, 445N, 1516E,  55,    0, EX
WP, 19, 2002082118,   , XRQA,   0, 448N, 1520E,  65,    0, EX
WP, 19, 2002082200,   , XRQA,   0, 449N, 1525E,  65,    0, EX
WP, 19, 2002082206,   , XRQA,   0, 449N, 1541E,  65,    0, EX
WP, 19, 2002082212,   , XRQA,   0, 456N, 1563E,  65,    0, EX
WP, 19, 2002082218,   , XRQA,   0, 471N, 1580E,  65,    0, EX
WP, 19, 2002082300,   , XRQA,   0, 473N, 1605E,  65,    0, EX
WP, 19, 2002082306,   , XRQA,   0, 481N, 1622E,  65,    0, EX
WP, 19, 2002082312,   , XRQA,   0, 489N, 1645E,  65,    0, EX
WP, 19, 2002082318,   , XRQA,   0, 493N, 1677E,  65,    0, EX
WP, 19, 2002082400,   , XRQA,   0, 495N, 1712E,  65,    0, EX
WP, 19, 2002082406,   , XRQA,   0, 498N, 1756E,  65,    0, EX
WP, 19, 2002082412,   , XRQA,   0, 509N, 1784E,  65,    0, EX
WP, 19, 2002082418,   , XRQA,   0, 509N, 1793E,  65,    0, EX
WP, 19, 2002082500,   , XRQA,   0, 502N, 1785W,  65,    0, EX
