CP, 01, 2006081400,   , XRQA,   0,  98N, 1338W,  15,    0, DB
CP, 01, 2006082112,   , XRQA,   0, 120N, 1652W,  90,    0, TY
CP, 01, 2006082118,   , XRQA,   0, 127N, 1660W, 105,    0, TY
CP, 01, 2006082200,   , XRQA,   0, 135N, 1670W, 115,    0, TY
CP, 01, 2006082206,   , XRQA,   0, 145N, 1677W, 120,    0, TY
CP, 01, 2006082212,   , XRQA,   0, 152N, 1685W, 100,    0, TY
CP, 01, 2006082218,   , XRQA,   0, 158N, 1694W, 105,    0, TY
CP, 01, 2006082300,   , XRQA,   0, 164N, 1698W, 100,    0, TY
CP, 01, 2006082306,   , XRQA,   0, 169N, 1702W, 105,    0, TY
CP, 01, 2006082312,   , XRQA,   0, 173N, 1705W, 100,    0, TY
CP, 01, 2006082318,   , XRQA,   0, 176N, 1709W, 105,    0, TY
CP, 01, 2006082400,   , XRQA,   0, 181N, 1714W, 105,    0, TY
CP, 01, 2006082406,   , XRQA,   0, 185N, 1720W, 115,    0, TY
CP, 01, 2006082412,   , XRQA,   0, 186N, 1725W, 120,    0, TY
CP, 01, 2006082418,   , XRQA,   0, 188N, 1729W, 140,    0, ST
CP, 01, 2006082500,   , XRQA,   0, 190N, 1734W, 145,    0, ST
CP, 01, 2006082506,   , XRQA,   0, 191N, 1742W, 140,    0, ST
CP, 01, 2006082512,   , XRQA,   0, 192N, 1747W, 130,    0, ST
CP, 01, 2006082518,   , XRQA,   0, 192N, 1751W, 135,    0, ST
CP, 01, 2006082600,   , XRQA,   0, 193N, 1758W, 130,    0, ST
CP, 01, 2006082606,   , XRQA,   0, 191N, 1765W, 135,    0, ST
CP, 01, 2006082612,   , XRQA,   0, 188N, 1774W, 145,    0, ST
CP, 01, 2006082618,   , XRQA,   0, 183N, 1780W, 140,    0, ST
CP, 01, 2006082700,   , XRQA,   0, 179N, 1789W, 125,    0, TY
CP, 01, 2006082706,   , XRQA,   0, 176N, 1798W, 115,    0, TY
CP, 01, 2006082712,   , XRQA,   0, 172N, 1794E, 130,    0, ST
CP, 01, 2006082718,   , XRQA,   0, 169N, 1785E, 145,    0, ST
CP, 01, 2006082800,   , XRQA,   0, 166N, 1776E, 135,    0, ST
CP, 01, 2006082806,   , XRQA,   0, 163N, 1767E, 130,    0, ST
CP, 01, 2006082812,   , XRQA,   0, 162N, 1759E, 125,    0, TY
CP, 01, 2006082818,   , XRQA,   0, 161N, 1751E, 110,    0, TY
CP, 01, 2006082900,   , XRQA,   0, 161N, 1743E, 130,    0, ST
CP, 01, 2006082906,   , XRQA,   0, 162N, 1734E, 140,    0, ST
CP, 01, 2006082912,   , XRQA,   0, 162N, 1726E, 140,    0, ST
CP, 01, 2006082918,   , XRQA,   0, 164N, 1719E, 145,    0, ST
CP, 01, 2006083000,   , XRQA,   0, 166N, 1712E, 140,    0, ST
CP, 01, 2006083006,   , XRQA,   0, 171N, 1705E, 130,    0, ST
CP, 01, 2006083012,   , XRQA,   0, 175N, 1698E, 115,    0, TY
CP, 01, 2006083018,   , XRQA,   0, 181N, 1692E, 110,    0, TY
CP, 01, 2006083100,   , XRQA,   0, 187N, 1683E, 130,    0, ST
CP, 01, 2006083103,   , XRQA,   0, 190N, 1679E, 140,    0, ST
CP, 01, 2006083106,   , XRQA,   0, 193N, 1674E, 130,    0, ST
CP, 01, 2006083112,   , XRQA,   0, 197N, 1663E, 125,    0, TY
CP, 01, 2006083118,   , XRQA,   0, 202N, 1654E, 115,    0, TY
CP, 01, 2006090100,   , XRQA,   0, 207N, 1645E, 105,    0, TY
CP, 01, 2006090106,   , XRQA,   0, 213N, 1635E, 105,    0, TY
CP, 01, 2006090112,   , XRQA,   0, 218N, 1623E,  95,    0, TY
CP, 01, 2006090118,   , XRQA,   0, 224N, 1609E,  90,    0, TY
CP, 01, 2006090200,   , XRQA,   0, 230N, 1593E,  90,    0, TY
CP, 01, 2006090206,   , XRQA,   0, 236N, 1577E,  95,    0, TY
CP, 01, 2006090212,   , XRQA,   0, 240N, 1563E,  95,    0, TY
CP, 01, 2006090218,   , XRQA,   0, 245N, 1549E,  85,    0, TY
CP, 01, 2006090300,   , XRQA,   0, 251N, 1536E,  90,    0, TY
CP, 01, 2006090306,   , XRQA,   0, 257N, 1526E,  90,    0, TY
CP, 01, 2006090312,   , XRQA,   0, 266N, 1518E,  85,    0, TY
CP, 01, 2006090318,   , XRQA,   0, 275N, 1508E,  80,    0, TY
CP, 01, 2006090400,   , XRQA,   0, 286N, 1500E,  75,    0, TY
CP, 01, 2006090406,   , XRQA,   0, 297N, 1489E,  80,    0, TY
CP, 01, 2006090412,   , XRQA,   0, 308N, 1480E,  70,    0, TY
CP, 01, 2006090418,   , XRQA,   0, 325N, 1475E,  70,    0, TY
CP, 01, 2006090500,   , XRQA,   0, 341N, 1471E,  80,    0, TY
CP, 01, 2006090506,   , XRQA,   0, 357N, 1475E,  80,    0, TY
CP, 01, 2006090512,   , XRQA,   0, 374N, 1490E,  85,    0, TY
CP, 01, 2006090518,   , XRQA,   0, 399N, 1509E,  75,    0, TY
CP, 01, 2006090600,   , XRQA,   0, 422N, 1532E,  55,    0, TS
CP, 01, 2006090606,   , XRQA,   0, 449N, 1567E,  50,    0, TS
CP, 01, 2006090612,   , XRQA,   0, 476N, 1612E,  55,    0, EX
CP, 01, 2006090618,   , XRQA,   0, 519N, 1662E,  55,    0, EX
CP, 01, 2006090700,   , XRQA,   0, 541N, 1697E,  55,    0, EX
CP, 01, 2006090706,   , XRQA,   0, 547N, 1762E,  55,    0, EX
CP, 01, 2006090712,   , XRQA,   0, 552N, 1790W,  55,    0, EX
CP, 01, 2006090718,   , XRQA,   0, 555N, 1750W,  55,    0, EX
