WP, 36, 1994102112,   , XRQA,   0, 253N, 1722W,  30,    0, SD
WP, 36, 1994102118,   , XRQA,   0, 250N, 1735W,  30,    0, SD
WP, 36, 1994102200,   , XRQA,   0, 247N, 1751W,  30,    0, SD
WP, 36, 1994102206,   , XRQA,   0, 243N, 1770W,  30,    0, SD
WP, 36, 1994102212,   , XRQA,   0, 243N, 1790W,  30,    0, SD
WP, 36, 1994102218,   , XRQA,   0, 242N, 1786E,  35,    0, TS
WP, 36, 1994102300,   , XRQA,   0, 240N, 1761E,  30,    0, TD
WP, 36, 1994102306,   , XRQA,   0, 238N, 1737E,  30,    0, TD
WP, 36, 1994102312,   , XRQA,   0, 239N, 1710E,  30,    0, TD
WP, 36, 1994102318,   , XRQA,   0, 241N, 1685E,  35,    0, TS
WP, 36, 1994102400,   , XRQA,   0, 243N, 1659E,  30,    0, TD
WP, 36, 1994102406,   , XRQA,   0, 246N, 1633E,  30,    0, TD
WP, 36, 1994102412,   , XRQA,   0, 251N, 1616E,  25,    0, TD
WP, 36, 1994102418,   , XRQA,   0, 257N, 1602E,  25,    0, TD
WP, 36, 1994102500,   , XRQA,   0, 260N, 1587E,  25,    0, TD
WP, 36, 1994102506,   , XRQA,   0, 260N, 1573E,  25,    0, TD
WP, 36, 1994102512,   , XRQA,   0, 259N, 1564E,  25,    0, TD
WP, 36, 1994102518,   , XRQA,   0, 258N, 1553E,  25,    0, TD
WP, 36, 1994102600,   , XRQA,   0, 260N, 1545E,  25,    0, TD
WP, 36, 1994102606,   , XRQA,   0, 268N, 1538E,  25,    0, TD
WP, 36, 1994102612,   , XRQA,   0, 276N, 1533E,  25,    0, TD
WP, 36, 1994102618,   , XRQA,   0, 288N, 1532E,  30,    0, TD
WP, 36, 1994102700,   , XRQA,   0, 299N, 1534E,  30,    0, TD
WP, 36, 1994102706,   , XRQA,   0, 311N, 1536E,  25,    0, TD
