WP, 06, 2019071300,   , XRQA,   0, 107N, 1430E,  15,    0, DB
WP, 06, 2019071306,   , XRQA,   0, 110N, 1412E,  15,    0, DB
WP, 06, 2019071312,   , XRQA,   0, 115N, 1395E,  20,    0, DB
WP, 06, 2019071318,   , XRQA,   0, 121N, 1380E,  20,    0, DB
WP, 06, 2019071400,   , XRQA,   0, 128N, 1366E,  25,    0, TD
WP, 06, 2019071406,   , XRQA,   0, 134N, 1353E,  25,    0, TD
WP, 06, 2019071412,   , XRQA,   0, 142N, 1345E,  30,    0, TD
WP, 06, 2019071418,   , XRQA,   0, 150N, 1336E,  35,    0, TS
WP, 06, 2019071500,   , XRQA,   0, 156N, 1327E,  40,    0, TS
WP, 06, 2019071506,   , XRQA,   0, 162N, 1314E,  40,    0, TS
WP, 06, 2019071512,   , XRQA,   0, 167N, 1301E,  45,    0, TS
WP, 06, 2019071518,   , XRQA,   0, 169N, 1286E,  45,    0, TS
WP, 06, 2019071600,   , XRQA,   0, 170N, 1271E,  50,    0, TS
WP, 06, 2019071606,   , XRQA,   0, 172N, 1256E,  45,    0, TS
WP, 06, 2019071612,   , XRQA,   0, 174N, 1243E,  40,    0, TS
WP, 06, 2019071618,   , XRQA,   0, 175N, 1231E,  35,    0, MD
WP, 06, 2019071700,   , XRQA,   0, 178N, 1222E,  30,    0, MD
WP, 06, 2019071706,   , XRQA,   0, 183N, 1211E,  30,    0, MD
WP, 06, 2019071712,   , XRQA,   0, 181N, 1203E,  35,    0, MD
WP, 06, 2019071718,   , XRQA,   0, 178N, 1195E,  35,    0, MD
WP, 06, 2019071800,   , XRQA,   0, 176N, 1189E,  40,    0, TS
WP, 06, 2019071806,   , XRQA,   0, 174N, 1184E,  45,    0, TS
WP, 06, 2019071812,   , XRQA,   0, 173N, 1181E,  50,    0, TS
WP, 06, 2019071818,   , XRQA,   0, 176N, 1183E,  45,    0, TS
WP, 06, 2019071900,   , XRQA,   0, 182N, 1185E,  40,    0, TS
WP, 06, 2019071906,   , XRQA,   0, 190N, 1189E,  30,    0, TD
WP, 06, 2019071912,   , XRQA,   0, 197N, 1194E,  25,    0, TD
WP, 06, 2019071918,   , XRQA,   0, 205N, 1198E,  25,    0, TD
WP, 06, 2019072000,   , XRQA,   0, 212N, 1197E,  20,    0, DB
WP, 06, 2019072006,   , XRQA,   0, 218N, 1195E,  20,    0, DB
