WP, 06, 2016072600,   , XRQA,   0,  85N, 1453E,  15,    0, DB
WP, 06, 2016072606,   , XRQA,   0,  85N, 1437E,  15,    0, DB
WP, 06, 2016072612,   , XRQA,   0,  86N, 1421E,  15,    0, DB
WP, 06, 2016072618,   , XRQA,   0,  87N, 1405E,  15,    0, DB
WP, 06, 2016072700,   , XRQA,   0,  88N, 1390E,  20,    0, DB
WP, 06, 2016072706,   , XRQA,   0,  87N, 1375E,  20,    0, DB
WP, 06, 2016072712,   , XRQA,   0,  87N, 1360E,  20,    0, DB
WP, 06, 2016072718,   , XRQA,   0,  88N, 1346E,  20,    0, DB
WP, 06, 2016072800,   , XRQA,   0,  88N, 1331E,  20,    0, DB
WP, 06, 2016072806,   , XRQA,   0,  89N, 1317E,  25,    0, TD
WP, 06, 2016072812,   , XRQA,   0,  91N, 1303E,  25,    0, TD
WP, 06, 2016072818,   , XRQA,   0,  94N, 1291E,  30,    0, TD
WP, 06, 2016072900,   , XRQA,   0,  99N, 1282E,  30,    0, TD
WP, 06, 2016072906,   , XRQA,   0, 106N, 1275E,  30,    0, TD
WP, 06, 2016072912,   , XRQA,   0, 119N, 1272E,  35,    0, TS
WP, 06, 2016072918,   , XRQA,   0, 127N, 1271E,  45,    0, TS
WP, 06, 2016073000,   , XRQA,   0, 139N, 1268E,  40,    0, TS
WP, 06, 2016073006,   , XRQA,   0, 152N, 1259E,  45,    0, TS
WP, 06, 2016073012,   , XRQA,   0, 160N, 1248E,  55,    0, TS
WP, 06, 2016073018,   , XRQA,   0, 166N, 1239E,  65,    0, TY
WP, 06, 2016073100,   , XRQA,   0, 173N, 1231E,  70,    0, TY
WP, 06, 2016073106,   , XRQA,   0, 181N, 1222E,  60,    0, TS
WP, 06, 2016073112,   , XRQA,   0, 187N, 1212E,  55,    0, TS
WP, 06, 2016073118,   , XRQA,   0, 194N, 1201E,  50,    0, TS
WP, 06, 2016080100,   , XRQA,   0, 201N, 1189E,  60,    0, TS
WP, 06, 2016080106,   , XRQA,   0, 211N, 1175E,  65,    0, TY
WP, 06, 2016080112,   , XRQA,   0, 217N, 1161E,  70,    0, TY
WP, 06, 2016080118,   , XRQA,   0, 224N, 1149E,  60,    0, TS
WP, 06, 2016080200,   , XRQA,   0, 228N, 1135E,  45,    0, TS
WP, 06, 2016080206,   , XRQA,   0, 234N, 1122E,  40,    0, TS
WP, 06, 2016080212,   , XRQA,   0, 239N, 1109E,  35,    0, TS
WP, 06, 2016080218,   , XRQA,   0, 243N, 1094E,  30,    0, TD
WP, 06, 2016080300,   , XRQA,   0, 247N, 1080E,  25,    0, TD
WP, 06, 2016080306,   , XRQA,   0, 251N, 1071E,  25,    0, TD
WP, 06, 2016080312,   , XRQA,   0, 254N, 1063E,  20,    0, TD
WP, 06, 2016080318,   , XRQA,   0, 257N, 1055E,  20,    0, TD
WP, 06, 2016080400,   , XRQA,   0, 259N, 1048E,  15,    0, TD
