WP, 04, 2023071200,   , XRQA,   0, 143N, 1266E,  15,    0, DB
WP, 04, 2023071206,   , XRQA,   0, 144N, 1259E,  20,    0, DB
WP, 04, 2023071212,   , XRQA,   0, 147N, 1251E,  25,    0, TD
WP, 04, 2023071218,   , XRQA,   0, 151N, 1243E,  30,    0, TD
WP, 04, 2023071300,   , XRQA,   0, 154N, 1237E,  35,    0, TS
WP, 04, 2023071306,   , XRQA,   0, 158N, 1230E,  40,    0, TS
WP, 04, 2023071312,   , XRQA,   0, 163N, 1226E,  35,    0, TS
WP, 04, 2023071318,   , XRQA,   0, 169N, 1222E,  40,    0, TS
WP, 04, 2023071400,   , XRQA,   0, 175N, 1213E,  30,    0, TD
WP, 04, 2023071406,   , XRQA,   0, 172N, 1200E,  30,    0, TD
WP, 04, 2023071412,   , XRQA,   0, 169N, 1191E,  25,    0, TD
WP, 04, 2023071418,   , XRQA,   0, 174N, 1186E,  30,    0, MD
WP, 04, 2023071500,   , XRQA,   0, 178N, 1183E,  35,    0, MD
WP, 04, 2023071506,   , XRQA,   0, 181N, 1179E,  40,    0, TS
WP, 04, 2023071512,   , XRQA,   0, 184N, 1173E,  40,    0, TS
WP, 04, 2023071518,   , XRQA,   0, 187N, 1168E,  50,    0, TS
WP, 04, 2023071600,   , XRQA,   0, 189N, 1162E,  50,    0, TS
WP, 04, 2023071606,   , XRQA,   0, 192N, 1155E,  55,    0, TS
WP, 04, 2023071612,   , XRQA,   0, 196N, 1146E,  65,    0, TY
WP, 04, 2023071618,   , XRQA,   0, 198N, 1138E,  70,    0, TY
WP, 04, 2023071700,   , XRQA,   0, 201N, 1131E,  75,    0, TY
WP, 04, 2023071706,   , XRQA,   0, 207N, 1121E,  85,    0, TY
WP, 04, 2023071712,   , XRQA,   0, 212N, 1109E,  70,    0, TY
WP, 04, 2023071718,   , XRQA,   0, 213N, 1097E,  55,    0, TS
WP, 04, 2023071800,   , XRQA,   0, 217N, 1089E,  45,    0, TS
WP, 04, 2023071806,   , XRQA,   0, 224N, 1076E,  35,    0, TS
WP, 04, 2023071812,   , XRQA,   0, 223N, 1063E,  30,    0, TD
WP, 04, 2023071818,   , XRQA,   0, 224N, 1050E,  25,    0, TD
WP, 04, 2023071900,   , XRQA,   0, 228N, 1039E,  25,    0, TD
WP, 04, 2023071906,   , XRQA,   0, 231N, 1029E,  20,    0, DB
WP, 04, 2023071912,   , XRQA,   0, 234N, 1021E,  20,    0, DB
WP, 04, 2023071918,   , XRQA,   0, 237N, 1011E,  20,    0, DB
