WP, 17, 2000081512,   , XRQA,   0, 290N, 1688E,  20,    0, DB
WP, 17, 2000081518,   , XRQA,   0, 291N, 1689E,  20,    0, DB
WP, 17, 2000081600,   , XRQA,   0, 291N, 1691E,  20,    0, DB
WP, 17, 2000081606,   , XRQA,   0, 292N, 1693E,  25,    0, TD
WP, 17, 2000081612,   , XRQA,   0, 295N, 1695E,  25,    0, TD
WP, 17, 2000081618,   , XRQA,   0, 299N, 1698E,  25,    0, TD
WP, 17, 2000081700,   , XRQA,   0, 307N, 1703E,  30,    0, TD
WP, 17, 2000081706,   , XRQA,   0, 315N, 1709E,  30,    0, TD
WP, 17, 2000081712,   , XRQA,   0, 316N, 1717E,  35,    0, TS
WP, 17, 2000081718,   , XRQA,   0, 321N, 1723E,  40,    0, TS
WP, 17, 2000081800,   , XRQA,   0, 323N, 1733E,  45,    0, TS
WP, 17, 2000081806,   , XRQA,   0, 326N, 1748E,  45,    0, TS
WP, 17, 2000081812,   , XRQA,   0, 328N, 1761E,  45,    0, TS
WP, 17, 2000081818,   , XRQA,   0, 335N, 1777E,  40,    0, TS
WP, 17, 2000081900,   , XRQA,   0, 356N, 1795E,  35,    0, TS
WP, 17, 2000081906,   , XRQA,   0, 378N, 1785W,  35,    0, EX
WP, 17, 2000081912,   , XRQA,   0, 401N, 1765W,  35,    0, EX
WP, 17, 2000081918,   , XRQA,   0, 427N, 1742W,  35,    0, EX
WP, 17, 2000082000,   , XRQA,   0, 445N, 1728W,  35,    0, EX
